iter	Passed	Remaining
585	3264	2306
586	3270	2300
587	3275	2294
588	3280	2289
589	3285	2283
590	3291	2277
591	3296	2272
592	3301	2266
593	3307	2260
594	3312	2254
595	3317	2248
596	3322	2242
597	3327	2236
598	3333	2231
599	3338	2225
600	3343	2219
601	3349	2214
602	3354	2208
603	3359	2202
604	3364	2196
605	3369	2190
606	3374	2185
607	3380	2179
608	3385	2173
609	3390	2167
610	3395	2162
611	3401	2156
612	3406	2150
613	3412	2145
614	3417	2139
615	3423	2134
616	3430	2129
617	3436	2124
618	3443	2119
619	3449	2114
620	3456	2109
621	3462	2104
622	3469	2099
623	3475	2094
624	3482	2089
625	3488	2083
626	3494	2078
627	3500	2073
628	3506	2068
629	3512	2063
630	3519	2058
631	3526	2053
632	3532	2048
633	3539	2043
634	3546	2038
635	3551	2032
636	3557	2027
637	3562	2021
638	3568	2015
639	3574	2010
640	3580	2005
641	3587	2000
642	3593	1995
643	3600	1990
644	3606	1984
645	3612	1979
646	3618	1974
647	3624	1969
648	3631	1963
649	3637	1958
650	3643	1953
651	3649	1947
652	3654	1942
653	3660	1936
654	3666	1931
655	3671	1925
656	3677	1919
657	3682	1914
658	3688	1908
659	3693	1902
660	3699	1897
661	3705	1891
662	3710	1886
663	3716	1880
664	3721	1874
665	3726	1869
666	3732	1863
667	3737	1857
668	3743	1852
669	3748	1846
670	3754	1840
671	3759	1834
672	3764	1829
673	3770	1823
674	3775	1818
675	3781	1812
676	3786	1806
677	3792	1800
678	3797	1795
679	3802	1789
680	3808	1783
681	3813	1778
682	3819	1772
683	3823	1766
684	3828	1760
685	3834	1755
686	3839	1749
687	3845	1743
688	3850	1738
689	3856	1732
690	3861	1726
691	3866	1721
692	3872	1715
693	3877	1709
694	3882	1703
695	3888	1698
696	3893	1692
697	3899	1687
698	3904	1681
699	3909	1675
700	3915	1669
701	3920	1664
702	3925	1658
703	3931	1652
704	3936	1647
705	3941	1641
706	3947	1635
707	3953	1630
708	3959	1624
709	3964	1619
710	3970	1613
711	3976	1608
712	3981	1602
713	3986	1596
714	3991	1591
715	3996	1585
716	4002	1579
717	4006	1573
718	4011	1567
719	4016	1562
720	4021	1556
721	4026	1550
722	4031	1544
